IYS_Specimen_ID,IAgroup
IYS2022-TINRO-3-13-Trawl-87-179,Western_AK_BBay
IYS2022-TINRO-3-13-Trawl-87-180,BC_WA
IYS2022-TINRO-3-13-Trawl-87-181,BC_WA
IYS2022-TINRO-3-13-Trawl-87-182,AK_Pen_Kodiak_Afognak
IYS2022-TINRO-3-13-Trawl-87-183,Western_AK_BBay
IYS2022-TINRO-3-13-Trawl-88-157,AK_Pen_Kodiak_Afognak
IYS2022-TINRO-3-13-Trawl-88-158,Western_AK_BBay
IYS2022-TINRO-3-13-Trawl-88-159,Western_AK_BBay
IYS2022-TINRO-3-14-Trawl-98-197,Western_AK_BBay
IYS2022-TINRO-3-14-Trawl-98-198,AK_Pen_Kodiak_Afognak
IYS2022-TINRO-3-14-Trawl-98-199,BC_WA
IYS2022-TINRO-3-15-Trawl-106-204,Western_AK_BBay
IYS2022-TINRO-3-15-Trawl-106-206,PWS_CopperR_SEAK
IYS2022-TINRO-3-15-Trawl-106-207,Western_AK_BBay
IYS2022-TINRO-3-15-Trawl-106-208,Western_AK_BBay
IYS2022-TINRO-3-15-Trawl-106-209,Western_AK_BBay
IYS2022-TINRO-3-15-Trawl-106-210,Western_AK_BBay
IYS2022-TINRO-3-15-Trawl-106-211,Western_AK_BBay
IYS2022-TINRO-3-15-Trawl-106-212,Western_AK_BBay
IYS2022-TINRO-3-15-Trawl-106-213,Western_AK_BBay
IYS2022-TINRO-3-15-Trawl-106-214,Western_AK_BBay
IYS2022-TINRO-3-15-Trawl-106-215,Western_AK_BBay
IYS2022-TINRO-3-15-Trawl-106-216,Western_AK_BBay
IYS2022-TINRO-3-15-Trawl-106-217,Western_AK_BBay
IYS2022-TINRO-3-15-Trawl-106-218,Western_AK_BBay
IYS2022-TINRO-3-15-Trawl-106-219,Western_AK_BBay
IYS2022-TINRO-3-15-Trawl-106-220,AK_Pen_Kodiak_Afognak
IYS2022-TINRO-3-15-Trawl-106-221,AK_Pen_Kodiak_Afognak
IYS2022-TINRO-3-15-Trawl-106-222,Western_AK_BBay
IYS2022-TINRO-3-15-Trawl-106-223,Western_AK_BBay
