IYS_Specimen_ID,GCLcard_position,IAgroup
IYS2022-TINRO-3-13-Trawl-88-145,0000057909_6,Western_AK_BBay
IYS2022-TINRO-3-13-Trawl-88-146,0000057909_7,Western_AK_BBay
IYS2022-TINRO-3-13-Trawl-88-147,0000057909_8,Western_AK_BBay
IYS2022-TINRO-3-13-Trawl-87-172,0000057909_10,PWS_CopperR_SEAK
IYS2022-TINRO-3-13-Trawl-87-173,0000057867_1,Cook_Inlet
IYS2022-TINRO-3-13-Trawl-87-174,0000057867_2,Cook_Inlet
IYS2022-TINRO-3-13-Trawl-87-175,0000057867_3,Western_AK_BBay
IYS2022-TINRO-3-13-Trawl-88-148,0000057867_4,Western_AK_BBay
IYS2022-TINRO-3-13-Trawl-88-149,0000057867_5,Western_AK_BBay
IYS2022-TINRO-3-13-Trawl-88-150,0000057867_6,Western_AK_BBay
IYS2022-TINRO-3-13-Trawl-88-152,0000057867_8,Western_AK_BBay
IYS2022-TINRO-3-13-Trawl-87-176,0000057867_9,Cook_Inlet
IYS2022-TINRO-3-13-Trawl-87-177,0000057867_10,Western_AK_BBay
IYS2022-TINRO-3-13-Trawl-88-154,0000057875_3,Western_AK_BBay
IYS2022-TINRO-3-13-Trawl-88-155,0000057875_4,Western_AK_BBay
IYS2022-TINRO-3-13-Trawl-88-156,0000057875_5,Western_AK_BBay
IYS2022-TINRO-3-13-Trawl-87-179,0000057875_6,Western_AK_BBay
IYS2022-TINRO-3-13-Trawl-87-180,0000057875_7,BC_WA
IYS2022-TINRO-3-13-Trawl-87-181,0000057875_8,BC_WA
IYS2022-TINRO-3-13-Trawl-87-182,0000057875_9,AK_Pen_Kodiak_Afognak
IYS2022-TINRO-3-13-Trawl-87-183,0000057875_10,Western_AK_BBay
IYS2022-TINRO-3-13-Trawl-88-157,0000057890_1,AK_Pen_Kodiak_Afognak
IYS2022-TINRO-3-13-Trawl-88-158,0000057890_2,Western_AK_BBay
IYS2022-TINRO-3-13-Trawl-88-159,0000057890_3,Western_AK_BBay
IYS2022-TINRO-3-14-Trawl-98-197,0000057890_4,Western_AK_BBay
IYS2022-TINRO-3-14-Trawl-98-198,0000057890_5,AK_Pen_Kodiak_Afognak
IYS2022-TINRO-3-14-Trawl-98-199,0000057890_6,BC_WA
IYS2022-TINRO-3-15-Trawl-106-204,0000057890_8,Western_AK_BBay
IYS2022-TINRO-3-15-Trawl-106-206,0000057890_10,PWS_CopperR_SEAK
IYS2022-TINRO-3-15-Trawl-106-207,0000057893_1,Western_AK_BBay
IYS2022-TINRO-3-15-Trawl-106-208,0000057893_2,Western_AK_BBay
IYS2022-TINRO-3-15-Trawl-106-209,0000057893_3,Western_AK_BBay
IYS2022-TINRO-3-15-Trawl-106-210,0000057893_4,Western_AK_BBay
IYS2022-TINRO-3-15-Trawl-106-211,0000057893_5,Western_AK_BBay
IYS2022-TINRO-3-15-Trawl-106-212,0000057893_6,Western_AK_BBay
IYS2022-TINRO-3-15-Trawl-106-213,0000057893_7,Western_AK_BBay
IYS2022-TINRO-3-15-Trawl-106-214,0000057893_8,Western_AK_BBay
IYS2022-TINRO-3-15-Trawl-106-215,0000057893_9,Western_AK_BBay
IYS2022-TINRO-3-15-Trawl-106-216,0000057893_10,Western_AK_BBay
IYS2022-TINRO-3-15-Trawl-106-217,0000057881_1,Western_AK_BBay
IYS2022-TINRO-3-15-Trawl-106-218,0000057881_2,Western_AK_BBay
IYS2022-TINRO-3-15-Trawl-106-219,0000057881_3,Western_AK_BBay
IYS2022-TINRO-3-15-Trawl-106-220,0000057881_4,AK_Pen_Kodiak_Afognak
IYS2022-TINRO-3-15-Trawl-106-221,0000057881_5,AK_Pen_Kodiak_Afognak
IYS2022-TINRO-3-15-Trawl-106-222,0000057881_6,Western_AK_BBay
IYS2022-TINRO-3-15-Trawl-106-223,0000057881_7,Western_AK_BBay
IYS2022-TINRO-3-15-Trawl-106-224,0000057881_8,Western_AK_BBay
IYS2022-TINRO-3-15-Trawl-107-226,0000057881_10,AK_Pen_Kodiak_Afognak
IYS2022-TINRO-3-17-Trawl-123-240,0000057885_1,Western_AK_BBay
IYS2022-TINRO-3-17-Trawl-123-241,0000057885_2,Western_AK_BBay
IYS2022-TINRO-3-17-Trawl-123-242,0000057885_3,Western_AK_BBay
IYS2022-TINRO-3-17-Trawl-123-243,0000057885_4,AK_Pen_Kodiak_Afognak
IYS2022-TINRO-3-17-Trawl-123-244,0000057885_5,Western_AK_BBay
IYS2022-TINRO-3-17-Trawl-123-245,0000057885_6,Western_AK_BBay
IYS2022-TINRO-3-17-Trawl-123-247,0000057885_8,Western_AK_BBay
IYS2022-TINRO-3-17-Trawl-123-248,0000057885_9,Western_AK_BBay
IYS2022-TINRO-3-17-Trawl-124-249,0000057885_10,AK_Pen_Kodiak_Afognak
IYS2022-TINRO-3-18-Trawl-131-250,0000057889_1,Western_AK_BBay
IYS2022-TINRO-3-18-Trawl-131-251,0000057889_2,Western_AK_BBay
IYS2022-TINRO-3-18-Trawl-131-252,0000057889_3,Western_AK_BBay
IYS2022-TINRO-3-18-Trawl-131-253,0000057889_4,Western_AK_BBay
IYS2022-TINRO-3-19-Trawl-137-255,0000057889_5,Western_AK_BBay
IYS2022-TINRO-3-19-Trawl-137-256,0000057889_6,BC_WA
IYS2022-TINRO-3-20-Trawl-144-257,0000057889_7,BC_WA
IYS2022-TINRO-3-22-Trawl-153-266,0000057889_9,Western_AK_BBay
IYS2022-TINRO-3-22-Trawl-153-267,0000057889_10,Western_AK_BBay
IYS2022-TINRO-3-22-Trawl-153-268,0000057892_1,Western_AK_BBay
IYS2022-TINRO-3-22-Trawl-153-269,0000057892_2,Western_AK_BBay
IYS2022-TINRO-3-22-Trawl-153-270,0000057892_3,PWS_CopperR_SEAK
IYS2022-TINRO-3-22-Trawl-153-271,0000057892_4,PWS_CopperR_SEAK
IYS2022-TINRO-3-22-Trawl-153-272,0000057892_5,PWS_CopperR_SEAK
IYS2022-TINRO-3-22-Trawl-154-278,0000057892_6,PWS_CopperR_SEAK
IYS2022-TINRO-3-22-Trawl-153-273,0000057892_7,Western_AK_BBay
IYS2022-TINRO-3-22-Trawl-153-274,0000057892_8,Western_AK_BBay
IYS2022-TINRO-3-22-Trawl-154-279,0000057892_9,Cook_Inlet
IYS2022-TINRO-3-22-Trawl-153-275,0000057892_10,AK_Pen_Kodiak_Afognak
IYS2022-TINRO-3-22-Trawl-154-280,0000057884_2,BC_WA
IYS2022-TINRO-3-22-Trawl-154-281,0000057884_3,PWS_CopperR_SEAK
IYS2022-TINRO-3-22-Trawl-154-282,0000057884_4,BC_WA
IYS2022-TINRO-3-22-Trawl-154-283,0000057884_5,BC_WA
IYS2022-TINRO-3-22-Trawl-154-285,0000057884_7,BC_WA
IYS2022-TINRO-3-22-Trawl-154-286,0000057884_8,BC_WA
IYS2022-TINRO-3-22-Trawl-154-287,0000057884_9,PWS_CopperR_SEAK
IYS2022-TINRO-3-22-Trawl-154-288,0000057888_1,BC_WA
IYS2022-TINRO-3-22-Trawl-154-289,0000057888_2,PWS_CopperR_SEAK
IYS2022-TINRO-3-23-Trawl-159-290,0000057888_3,Cook_Inlet
IYS2022-TINRO-3-23-Trawl-159-291,0000057888_4,Western_AK_BBay
IYS2022-TINRO-3-23-Trawl-159-292,0000057888_5,AK_Pen_Kodiak_Afognak
IYS2022-TINRO-3-23-Trawl-159-293,0000057888_6,Western_AK_BBay
IYS2022-TINRO-3-23-Trawl-159-294,0000057888_7,Western_AK_BBay
IYS2022-TINRO-3-23-Trawl-159-295,0000057888_8,BC_WA
IYS2022-TINRO-3-23-Trawl-159-302,0000057888_9,BC_WA
IYS2022-TINRO-3-23-Trawl-160-301,0000057888_10,BC_WA
IYS2022-TINRO-3-23-Trawl-159-303,0000057872_1,Cook_Inlet
IYS2022-TINRO-3-23-Trawl-159-296,0000057872_2,BC_WA
IYS2022-TINRO-3-23-Trawl-159-297,0000057872_3,BC_WA
IYS2022-TINRO-3-23-Trawl-159-298,0000057872_4,Western_AK_BBay
IYS2022-TINRO-3-23-Trawl-159-299,0000057872_5,Western_AK_BBay
IYS2022-TINRO-3-23-Trawl-159-300,0000057872_6,Western_AK_BBay
IYS2022-TINRO-3-24-Trawl-165-308,0000057872_7,PWS_CopperR_SEAK
IYS2022-TINRO-3-24-Trawl-166-309,0000057872_8,AK_Pen_Kodiak_Afognak
IYS2022-TINRO-3-25-Trawl-177-317,0000057872_9,Cook_Inlet
IYS2022-TINRO-3-25-Trawl-177-318,0000057872_10,AK_Pen_Kodiak_Afognak
IYS2022-TINRO-3-25-Trawl-177-320,0000057880_2,Cook_Inlet
IYS2022-TINRO-3-25-Trawl-177-321,0000057880_3,AK_Pen_Kodiak_Afognak
IYS2022-TINRO-3-25-Trawl-177-322,0000057880_4,Cook_Inlet
IYS2022-TINRO-3-25-Trawl-177-323,0000057880_5,BC_WA
IYS2022-TINRO-3-25-Trawl-177-324,0000057880_6,PWS_CopperR_SEAK
IYS2022-TINRO-3-25-Trawl-177-326,0000057880_8,Cook_Inlet
IYS2022-TINRO-3-26-Trawl-183-377,0000057880_9,Cook_Inlet
IYS2022-TINRO-3-26-Trawl-183-379,0000057868_1,PWS_CopperR_SEAK
IYS2022-TINRO-3-26-Trawl-183-380,0000057868_2,AK_Pen_Kodiak_Afognak
IYS2022-TINRO-3-26-Trawl-183-381,0000057868_4,Cook_Inlet
IYS2022-TINRO-3-26-Trawl-183-382,0000057868_5,Western_AK_BBay
IYS2022-TINRO-3-26-Trawl-183-383,0000057868_6,Cook_Inlet
IYS2022-TINRO-3-26-Trawl-183-425,0000057868_7,AK_Pen_Kodiak_Afognak
IYS2022-TINRO-3-26-Trawl-183-384,0000057868_8,Western_AK_BBay
IYS2022-TINRO-3-26-Trawl-183-426,0000057868_9,AK_Pen_Kodiak_Afognak
IYS2022-TINRO-3-26-Trawl-183-385,0000057868_10,AK_Pen_Kodiak_Afognak
IYS2022-TINRO-3-26-Trawl-183-386,0000057894_1,Western_AK_BBay
IYS2022-TINRO-3-26-Trawl-183-387,0000057894_2,Western_AK_BBay
IYS2022-TINRO-3-26-Trawl-183-388,0000057894_3,AK_Pen_Kodiak_Afognak
IYS2022-TINRO-3-26-Trawl-183-389,0000057894_6,Western_AK_BBay
IYS2022-TINRO-3-26-Trawl-183-390,0000057894_7,Western_AK_BBay
IYS2022-TINRO-3-26-Trawl-183-391,0000057894_8,Western_AK_BBay
IYS2022-TINRO-3-26-Trawl-183-392,0000057894_9,AK_Pen_Kodiak_Afognak
IYS2022-TINRO-3-26-Trawl-183-393,0000057894_10,PWS_CopperR_SEAK
IYS2022-TINRO-3-26-Trawl-183-394,0000057878_1,Western_AK_BBay
IYS2022-TINRO-3-26-Trawl-183-395,0000057878_2,PWS_CopperR_SEAK
IYS2022-TINRO-3-26-Trawl-183-397,0000057878_4,Western_AK_BBay
